# Goxel 0.15.1
# One line per voxel
# X Y Z RRGGBB
-10 -13 0 ffffff
-9 -13 0 ffffff
-11 -12 0 ffffff
-10 -12 0 ffffff
-12 -11 0 ffffff
-11 -11 0 ffffff
-10 -11 0 ffffff
-12 -10 0 ffffff
-10 -10 0 ffffff
-13 -9 0 ffffff
-10 -9 0 ffffff
-1 -9 0 ffffff
-14 -8 0 ffffff
-10 -8 0 ffffff
-2 -8 0 ffffff
-15 -7 0 ffffff
-14 -7 0 ffffff
-10 -7 0 ffffff
-7 -7 0 ffffff
-6 -7 0 ffffff
-5 -7 0 ffffff
-4 -7 0 ffffff
-3 -7 0 ffffff
-2 -7 0 ffffff
-1 -7 0 ffffff
-15 -6 0 ffffff
-10 -6 0 ffffff
-9 -6 0 ffffff
-8 -6 0 ffffff
-4 -6 0 ffffff
-1 -6 0 ffffff
-16 -5 0 ffffff
-15 -5 0 ffffff
-11 -5 0 ffffff
-10 -5 0 ffffff
-5 -5 0 ffffff
-16 -4 0 ffffff
-13 -4 0 ffffff
-12 -4 0 ffffff
-10 -4 0 ffffff
-5 -4 0 ffffff
-10 -3 0 ffffff
-6 -3 0 ffffff
-10 -2 0 ffffff
-7 -2 0 ffffff
-6 -2 0 ffffff
-5 -2 0 ffffff
-4 -2 0 ffffff
-3 -2 0 ffffff
-10 -1 0 ffffff
-8 -1 0 ffffff
-7 -1 0 ffffff
-3 -1 0 ffffff
-1 -1 0 ffffff
-13 -4 1 ffffff
-14 -3 1 ffffff
-14 -3 2 ffffff
-15 -2 3 ffffff
-15 -2 4 ffffff
-15 -1 4 ffffff
-16 -1 5 ffffff
-10 0 0 ffffff
-9 0 0 ffffff
-8 0 0 ffffff
-3 0 0 ffffff
-2 0 0 ffffff
-10 1 0 ffffff
-9 1 0 ffffff
-2 1 0 ffffff
-11 2 0 ffffff
-9 2 0 ffffff
-3 2 0 ffffff
-2 2 0 ffffff
-1 2 0 ffffff
-12 3 0 ffffff
-9 3 0 ffffff
-4 3 0 ffffff
-1 3 0 ffffff
-13 4 0 ffffff
-10 4 0 ffffff
-9 4 0 ffffff
-4 4 0 ffffff
-1 4 0 ffffff
-14 5 0 ffffff
-10 5 0 ffffff
-8 5 0 ffffff
-5 5 0 ffffff
-1 5 0 ffffff
-14 6 0 ffffff
-10 6 0 ffffff
-8 6 0 ffffff
-6 6 0 ffffff
-5 6 0 ffffff
-1 6 0 ffffff
-15 7 0 ffffff
-11 7 0 ffffff
-10 7 0 ffffff
-8 7 0 ffffff
-6 7 0 ffffff
-16 8 0 ffffff
-15 8 0 ffffff
-11 8 0 ffffff
-7 8 0 ffffff
-16 9 0 ffffff
-11 9 0 ffffff
-7 9 0 ffffff
-6 9 0 ffffff
-16 10 0 ffffff
-11 10 0 ffffff
-8 10 0 ffffff
-5 10 0 ffffff
-16 11 0 ffffff
-12 11 0 ffffff
-9 11 0 ffffff
-4 11 0 ffffff
-3 11 0 ffffff
-16 12 0 ffffff
-12 12 0 ffffff
-9 12 0 ffffff
-3 12 0 ffffff
-2 12 0 ffffff
-1 12 0 ffffff
-16 13 0 ffffff
-12 13 0 ffffff
-16 14 0 ffffff
-11 14 0 ffffff
-16 15 0 ffffff
-10 15 0 ffffff
-16 8 1 ffffff
-9 12 1 ffffff
-16 14 1 ffffff
-16 15 1 ffffff
-15 15 1 ffffff
-9 15 1 ffffff
-16 8 2 ffffff
-9 13 2 ffffff
-16 15 2 ffffff
-14 15 2 ffffff
-13 15 2 ffffff
-8 15 2 ffffff
-7 15 2 ffffff
-16 8 3 ffffff
-16 9 3 ffffff
-10 13 3 ffffff
-16 15 3 ffffff
-15 15 3 ffffff
-13 15 3 ffffff
-12 15 3 ffffff
-6 15 3 ffffff
-16 9 4 ffffff
-10 13 4 ffffff
-15 15 4 ffffff
-11 15 4 ffffff
-10 15 4 ffffff
-5 15 4 ffffff
-4 15 4 ffffff
-16 10 5 ffffff
-10 14 5 ffffff
-15 15 5 ffffff
-10 15 5 ffffff
-9 15 5 ffffff
-4 15 5 ffffff
-3 15 5 ffffff
-16 0 6 ffffff
-16 11 6 ffffff
-16 12 6 ffffff
-10 14 6 ffffff
-15 15 6 ffffff
-2 15 6 ffffff
-1 15 6 ffffff
-16 0 7 ffffff
-16 12 7 ffffff
-16 13 7 ffffff
-11 14 7 ffffff
-14 15 7 ffffff
-16 0 8 ffffff
-16 14 8 ffffff
-14 15 8 ffffff
-11 15 8 ffffff
-16 0 9 ffffff
-16 14 9 ffffff
-15 14 9 ffffff
-13 15 9 ffffff
-11 15 9 ffffff
-16 0 10 ffffff
-15 15 10 ffffff
-13 15 10 ffffff
-11 15 10 ffffff
-16 0 11 ffffff
-14 15 11 ffffff
-13 15 11 ffffff
-11 15 11 ffffff
-16 1 12 ffffff
-14 15 12 ffffff
-13 15 12 ffffff
-11 15 12 ffffff
-16 2 13 ffffff
-13 15 13 ffffff
-12 15 13 ffffff
-11 15 13 ffffff
-16 2 14 ffffff
-14 15 14 ffffff
-13 15 14 ffffff
-12 15 14 ffffff
-16 3 15 ffffff
-15 15 15 ffffff
-14 15 15 ffffff
2 0 0 ffffff
2 1 0 ffffff
2 2 0 ffffff
2 3 0 ffffff
2 4 0 ffffff
2 5 0 ffffff
0 6 0 ffffff
2 6 0 ffffff
0 7 0 ffffff
2 7 0 ffffff
0 8 0 ffffff
1 8 0 ffffff
2 8 0 ffffff
0 9 0 ffffff
1 9 0 ffffff
0 10 0 ffffff
1 10 0 ffffff
0 11 0 ffffff
1 11 0 ffffff
0 12 0 ffffff
0 13 0 ffffff
0 14 0 ffffff
0 14 1 ffffff
1 15 2 ffffff
1 15 3 ffffff
1 15 4 ffffff
0 15 5 ffffff
1 15 5 ffffff
0 15 6 ffffff
1 -11 0 ffffff
2 -11 0 ffffff
0 -10 0 ffffff
2 -10 0 ffffff
1 -9 0 ffffff
2 -9 0 ffffff
1 -8 0 ffffff
1 -7 0 ffffff
0 -6 0 ffffff
1 -6 0 ffffff
0 -5 0 ffffff
1 -5 0 ffffff
0 -4 0 ffffff
1 -4 0 ffffff
0 -3 0 ffffff
1 -3 0 ffffff
0 -2 0 ffffff
2 -2 0 ffffff
2 -1 0 ffffff
-16 4 16 ffffff
-16 14 16 ffffff
-16 15 16 ffffff
-15 15 16 ffffff
-16 4 17 ffffff
-16 5 17 ffffff
-16 12 17 ffffff
-16 13 17 ffffff
-16 14 17 ffffff
-16 5 18 ffffff
-16 6 18 ffffff
-16 9 18 ffffff
-16 10 18 ffffff
-16 11 18 ffffff
-16 12 18 ffffff
-16 7 19 ffffff
-16 8 19 ffffff
-16 9 19 ffffff

